iter	Passed	Remaining
1401	67254	28686
1402	67305	28639
1403	67351	28590
1404	67399	28543
1405	67456	28498
1406	67509	28452
1407	67557	28404
1408	67603	28356
1409	67648	28306
1410	67701	28260
1411	67747	28212
1412	67801	28166
1413	67849	28118
1414	67901	28072
1415	67954	28026
1416	68000	27977
1417	68047	27929
1418	68095	27881
1419	68144	27833
1420	68192	27785
1421	68237	27736
1422	68283	27687
1423	68330	27639
1424	68384	27593
1425	68431	27545
1426	68476	27496
1427	68525	27448
1428	68572	27400
1429	68626	27354
1430	68676	27307
1431	68729	27261
1432	68778	27213
1433	68831	27167
1434	68879	27119
1435	68927	27071
1436	68975	27023
1437	69024	26976
1438	69074	26929
1439	69122	26881
1440	69173	26834
1441	69221	26786
1442	69266	26737
1443	69316	26689
1444	69364	26641
1445	69408	26592
1446	69457	26544
1447	69499	26494
1448	69549	26447
1449	69596	26398
1450	69642	26349
1451	69689	26301
1452	69735	26252
1453	69786	26205
1454	69831	26156
1455	69879	26108
1456	69922	26059
1457	69969	26010
1458	70018	25962
1459	70071	25916
1460	70119	25868
1461	70165	25820
1462	70209	25770
1463	70264	25725
1464	70311	25676
1465	70357	25628
1466	70400	25578
1467	70444	25528
1468	70497	25482
1469	70541	25433
1470	70586	25384
1471	70634	25336
1472	70685	25289
1473	70741	25244
1474	70789	25196
1475	70835	25147
1476	70879	25098
1477	70924	25049
1478	70972	25001
1479	71020	24953
1480	71069	24905
1481	71119	24858
1482	71168	24810
1483	71218	24763
1484	71261	24713
1485	71311	24666
1486	71358	24618
1487	71404	24569
1488	71454	24521
1489	71501	24473
1490	71552	24426
1491	71602	24379
1492	71646	24330
1493	71696	24282
1494	71741	24233
1495	71791	24186
1496	71840	24138
1497	71885	24089
1498	71938	24043
1499	71990	23996
1500	72039	23949
1501	72091	23902
1502	72140	23854
1503	72192	23808
1504	72238	23759
1505	72289	23712
1506	72334	23663
1507	72386	23616
1508	72440	23570
1509	72486	23522
1510	72534	23474
1511	72582	23425
1512	72633	23379
1513	72681	23331
1514	72731	23283
1515	72780	23235
1516	72827	23187
1517	72881	23141
1518	72929	23093
1519	72975	23044
1520	73020	22995
1521	73068	22947
1522	73117	22900
1523	73165	22852
1524	73211	22803
1525	73261	22756
1526	73310	22708
1527	73363	22662
1528	73410	22613
